timestamp,download_mbps,upload_mbps,ping_ms,jitter_ms,packet_loss_pct,server_id,server_name,server_location,server_country,result_url
2026-05-27T15:09:33.099751,910.93,38.73,16.863,4.621,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/33bbd7e3-3cb6-431c-a924-1b4f22c6dece
2026-05-27T15:24:38.119572,923.87,41.45,22.226,3.464,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/f1c1e521-7b08-4775-828c-b18767aa47fa
2026-05-27T15:39:44.687136,250.75,40.94,19.299,1.807,0,47256,"Surfnet Communications, Inc","San Luis Obispo, CA",United States,https://www.speedtest.net/result/c/1790f50c-54ec-4132-82c8-47627348e9ce
2026-05-27T15:54:36.051437,926.73,38.45,21.936,6.16,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/0d3383b9-b0f4-4464-92e2-11b04debe6fb
2026-05-27T16:09:35.102572,919.49,40.13,16.025,1.687,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/7174cb4d-3016-4c9b-b825-42d81c910e0d
2026-05-27T16:24:38.436453,142.66,38.85,22.418,1.227,0,40986,Internet 3.14,"Reedley, CA",United States,https://www.speedtest.net/result/c/f8ac7e44-97d1-48cd-afab-f0599b4eab50
2026-05-27T16:39:36.002581,863.15,40.63,20.391,0.607,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/db6f4c83-012d-4aaa-9cfb-f27982632f9c
2026-05-27T16:54:38.063069,922.41,40.9,25.468,1.458,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/cafe6b33-2807-4a75-96c5-0f451faaacd9
2026-05-27T17:09:40.710947,919.77,41.1,20.601,0.671,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/b3c041b7-f804-446c-ac7d-d84f0e579d6e
2026-05-27T17:24:45.009291,923.77,41.31,16.151,3.006,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/78eb88c1-7704-4012-adbf-ab8107fa1342
2026-05-27T17:39:47.666277,306.6,41.14,26.786,2.098,0,47256,"Surfnet Communications, Inc","San Luis Obispo, CA",United States,https://www.speedtest.net/result/c/fd5f2b62-cf24-48d1-b698-7ebecc817255
2026-05-27T17:54:40.459619,221.07,39.67,21.119,2.177,0,40986,Internet 3.14,"Reedley, CA",United States,https://www.speedtest.net/result/c/2f5cf90b-a2e5-4447-a1b8-c0f80d698d38
2026-05-27T18:09:41.235395,914.58,40.66,21.211,7.848,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/663816c7-72dd-4770-a45f-7aec934379ed
2026-05-27T18:24:58.424795,275.5,41.35,22.401,4.665,0,47256,"Surfnet Communications, Inc","San Luis Obispo, CA",United States,https://www.speedtest.net/result/c/468da643-5e13-464b-abde-ede13bd84c22
2026-05-27T18:39:51.579758,858.84,26.17,35.526,5.396,0,14236,Frontier,"Los Angeles, CA",United States,https://www.speedtest.net/result/c/9f9be840-d452-4fb9-9f0d-75cf6ec7e084
2026-05-27T18:49:44.535314,104.51,18.18,31.803,8.648,0,47256,"Surfnet Communications, Inc","San Luis Obispo, CA",United States,https://www.speedtest.net/result/c/0d83f09c-4c3b-43e6-85e8-08a6d4df571b
2026-05-27T19:04:43.320925,920.1,40.91,32.013,3.787,0,14236,Frontier,"Los Angeles, CA",United States,https://www.speedtest.net/result/c/9f4cad16-661d-4648-b4d9-a10a6730d871
2026-05-27T19:19:31.268240,848.65,41.18,20.907,1.703,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/eb6fdbda-e6b8-4fb8-9ebe-e28c7bd6e71d
2026-05-27T19:34:46.167898,884.13,28.32,22.234,1.903,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/5d17705e-0d38-41a7-9232-dd9c47e9707a
2026-05-27T19:49:42.734254,206.91,41.53,24.743,1.072,0,47256,"Surfnet Communications, Inc","San Luis Obispo, CA",United States,https://www.speedtest.net/result/c/fe9b7acc-51b3-41a8-b346-e37b3e9f0c6f
